TID,Tweets,Label
7.31E+17,ca kkk grand wizard  endorses,2
7.15E+17, an open letter to trump voters from his top strategist-turned-defector,2
6.92E+17,america is a nation of second chances,3
6.93E+17,"brandon marshall visits and offers advice, support to brother of fallen hero zaevion dobson",3
5.51E+17, rip elly may clampett: so sad to learn beverlyhillbillies star donna douglas has passed away,3
7.67E+17,"former 3 doors down guitarist matt roberts has died at age 38, according to his father",3
7.16E+17, craigslist ad get paid 15 an hour to protest at the trump rally,2
5.14E+17,just in  missing afghan soldiers found trying to enter canada near niagara falls ,0
5.00E+17, the day  ferguson cops told a dirty bloody lie,2
4.95E+17,riphulkhogan my heart is ripping like your shirt  wwe'll miss you,1
5.32E+17,a chick-fil-a manager allegedly banned this hilarious list of slang words ,1
5.60E+17,islamic tribunal using sharia law in texas has been confirmed ,1
5.32E+17, alpha male rt marc leibowitz  photo of vladimir putin's motorcade posted without comment,1
4.90E+17,photo of vladimir putin's motorcade posted without comment,1
5.25E+17,shooter still on loose after uniformed soldier shot at ottawa's war memorial across road from parliament. mp's being taken out of offices,2
7.67E+17,report more american fifth-graders taking gap year to unwind before middle school,3
5.00E+17,a woman in ferguson was shot in head last night and released this selfie. conflicting reports of how it happened,2
5.20E+17,report  amazon plans to open its first physical store in new york,1
7.68E+17,keep it  says simone biles throwing gold medal to adoring men's gymnastics team,3
5.66E+17, let's let our friends know that a state senator in south carolina stated women are a lesser cut of meat,0
5.54E+17, a traditional beer that authorities believe was poisoned with crocodile bile has killed 56 people in mozambique,1
7.68E+17, nothing to see here. just nuggets forward wilson chandler catching a 350-pound fish,3
5.53E+17,reports of shooting at dammartin en goele on route n2 north east of paris - french media says car chase under way,2
5.54E+17," police chief helric fredou, one of the police officers investigating the case charliehebdo, commits suicide.",1
5.00E+17," reminder: forget the robbery, forget the minor looting. nothing justifies militarized police pointing sniper rifles at journalists ferguson",2
5.39E+17,afghan woman picked up her dead son's gun and helped kill 25 taliban militants to save village ,2
5.16E+17," from ferguson to hongkong hongkongdemocracy protests adopt hands up, don't shoot",2
8.01E+16,seriously racist mcdonald’s sign is obviously a hoax,1
6.88E+17," several in critical condition - one in a coma - after clinical trial of new drug in france, health minister says ",3
4.36E+17,omfg read this its my personal experience with talking angela,1
5.69E+17,why did macklemore delete this tweet macklemorejoinedisis,1
7.67E+17,this is jackalltimelow asking you to watch the vma weekendbrunch that's starting right now.,3
4.07E+17,"paul walker died too fast, i'm furious..",0
5.05E+17,tupac was hiding for 18 years ,1
5.77E+17,putin reappears on tv amid claims he is unwell and under threat of coup,2
6.89E+17,eagles co-founder glenn frey has died aged 67,3
5.23E+17,a passenger at dulles international airport has been spotted wearing a homemade hazmat suit (via dailycaller) ebola,2
3.87E+17,"if amber alert really had to shutdown b/c of lack of funds, as obama said, why did it go back up today after bad pr governmentshutdown",1
6.94E+17,how to raise a creative child step one: back off ,3
7.07E+17,berniesanders: in 2016 we will end institutional racism and reform a broken criminal justice system. demdebate,2
5.32E+17,iraqi officials say isis leader wounded in airstrike ,2
5.32E+17,no baes allowed: a chick-fil-a manager bans 22 hip words,1
5.03E+17,"key foley beheading suspect is abdel majed bary, 23, who left his 1m west london home last year…",2
5.53E+17,i am still confused as to why these highly trained  individuals left their id in the getaway car charliehebdo,2
6.93E+17,"when you spend the whole day thinking it's friday, but it's not...",3
5.80E+17,"accident aircraft looks to be germanwings (airline code 4u or gwi) flight 9525, barcelona to dusseldorf 4u9525",2
5.14E+17,"alaskan reporter says ""f*ck this,"" quits on live tv in marijuana legalization protest",0
6.94E+17,"ex-president of el salvador, francisco flores, dies at 56, government says.",3
5.50E+17,"transgender teen leelah alcorn publishes suicide note on tumblr: ""my death needs to mean something""",2
4.07E+17,paul walker mourned by vin diesel and more 'fast & furious' co-stars ,0
5.09E+17,"apparently microsoft are trying to buy mojang, the creators of minecraft, for around 2 billion..",0
5.00E+17,"nearly 7k blacks were murdered last yr--almost all by other blacks. a tiny  were unarmed-killed-by-cop. where's al, jesse tcot ferguson",2
6.93E+17,the las vegas raiders,3
5.27E+17,poster girl for kobane resistance reportedly beheaded. sickening.,2
7.26E+17,"target boycott crosses 1 million signers, stock sinks by 1.5 billion",2
7.31E+17,ca grand dragon endorses hillary clinton on behalf of the kkk. ,2
6.94E+17,teenage girl 'made up' migrant rape claim that caused uproar in germany,3
6.92E+17,potus's reforms to solitary confinement will expand treatment for the mentally ill,3
5.51E+17,news saudi arabia's national airline planning to introduce gender segregation on flights,1
4.07E+17," paul walker dies, millions cried. millions died of human hunger, no one simply gives a fk.",0
5.61E+17,islamic tribunal in texas operating under sharia law wtf is this lodisilverado amymek tcot ,1
7.23E+17,"landmarks around world turn purple, in honor of prince. princerip purplerain ",2
5.32E+17,vladimir putin’s motorcade as seen from the air. ,1
6.90E+17,death toll from bachakhanuniattack rises to at least 19; army official says firing has stopped as campus searched,3
5.62E+17,islamic tribunal in texas operating under sharia law wtf is this lodisilverado amymek tcot ,1
5.50E+17,the president of argentina adopted a jewish teenager to stop him from becoming a werewolf ,1
5.19E+17,"hp confirmed that it's splitting into two companies. and cutting 5,000 jobs.",0
3.87E+17,"by all means, let's turn over healthcare decision making to people willing to shut down the amber alert website out of spite",1
5.25E+17, video: hero sergeant-at-arms kevin vickers returns to parliament - and an incredible welcome,2
4.50E+17," ""dangerburgundy:joerogan what...successful clone of dinosaurs URL "" holy shit is that real",1
3.87E+17,never thought i’d see the day when obama would play politics with kids. ,1
5.54E+17,charliehebdo shooting suspects tell police they 'prepared to die as martyrs' - french media ,2
5.24E+17,google south american goliath birdeater. helllll noooooo,0
5.11E+17,breaking news: isis beheads a british hostage david haines in message to america's partners.,0
5.50E+17,"transgender teen leaves heartbreaking suicide note on tumblr begging us to ""fix society""",2
6.93E+17,"forty percent of germans want angela merkel to resign over her refugee policy, poll shows:",3
5.24E+17,puppy-sized spider surprises scientist in rainforest livescience ,0
5.32E+17,"no, vladimir putin did not travel in a phallic motorcade formation ",1
5.45E+17, a texas plumbing company's truck somehow ended up in syria's civil war,0
5.17E+17,"hongkong’s protesters are using the “hands up, don’t shoot” gesture from ferguson ",2
4.07E+17,"fast and furious 7 ""delayed"" but ""won't be scrapped"" following paul walker's death: report",0
5.25E+17,"breaking news photo gallery: parliament hill attacked, soldier shot at national war memorial",0
5.50E+17,a transgender 17-year old left a suicide note on tumblr pleading:,2
6.92E+17,wind and solar could power most of the u.s. by 2030 without raising electricity prices,3
6.90E+17, leonardo dicaprio is giving away 15 million to environmental causes:,3
4.36E+17," what if talking angela is actually boris laursen he be like ""i just stole all your personal information what are you going to do about it""",1
5.45E+17,meet barak hussein obama's appointment for our next assistant director of homeland security: fatima noor,2
7.15E+17,an open letter to realdonaldtrump from his top strategist-turned-defector: ,2
6.94E+17, make way for leonardo dicaprio. sagawards,3
5.14E+17, oregon police officers step in and make delivery after pizza hut driver gets injured in a car crash: ,0
5.16E+17,vaughn foods co-worker who witnessed murder tells news9 murder suspect alton nolen was shouting islamic phrases. fbi investigating,0
7.68E+17,"in a historic first, the international criminal court has classified destroying cultural artifacts as a war crime. ",3
5.20E+17,complexmag: someone spray painted a penis on a 2.4 million bugatti veyron:,1
6.52E+17,avoid 5p bag charge using these from trolleybagsuk enter here to #win a set with star100x ,2
